ID,Title,Related requirements,Category,Severity,Resource type,AWS Config rule,Schedule type,Parameters,Description
CloudWatch.9,Ensure a log metric filter and alarm exist for AWS Config configuration changes,"CIS AWS Foundations Benchmark v1.2.0/3.9, CIS AWS Foundations Benchmark v1.4.0/4.9",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None," You can do real-time monitoring of API calls by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. CIS recommends that you create a metric filter and alarm for changes to AWS Config configuration settings. Monitoring these changes helps ensure sustained visibility of configuration items in the account. To run this check, Security Hub uses custom logic to perform the exact audit steps prescribed for control 4.9 in the   CIS AWS Foundations Benchmark v1.4.0   . This control fails if the exact metric filters prescribed by CIS are not used. Additional fields or terms cannot be added to the metric filters."
CloudWatch.10,Ensure a log metric filter and alarm exist for security group changes,"CIS AWS Foundations Benchmark v1.2.0/3.10, CIS AWS Foundations Benchmark v1.4.0/4.10",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None," You can do real-time monitoring of API calls by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. Security groups are a stateful packet filter that controls ingress and egress traffic in a VPC. CIS recommends that you create a metric filter and alarm for changes to security groups. Monitoring these changes helps ensure that resources and services aren't unintentionally exposed. To run this check, Security Hub uses custom logic to perform the exact audit steps prescribed for control 4.10 in the   CIS AWS Foundations Benchmark v1.4.0   . This control fails if the exact metric filters prescribed by CIS are not used. Additional fields or terms cannot be added to the metric filters."
CloudWatch.11,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),"CIS AWS Foundations Benchmark v1.2.0/3.11, CIS AWS Foundations Benchmark v1.4.0/4.11",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None," You can do real-time monitoring of API calls by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. NACLs are used as a stateless packet filter to control ingress and egress traffic for subnets in a VPC. CIS recommends that you create a metric filter and alarm for changes to NACLs. Monitoring these changes helps ensure that AWS resources and services aren't unintentionally exposed. To run this check, Security Hub uses custom logic to perform the exact audit steps prescribed for control 4.11 in the   CIS AWS Foundations Benchmark v1.4.0   . This control fails if the exact metric filters prescribed by CIS are not used. Additional fields or terms cannot be added to the metric filters."
CloudWatch.12,Ensure a log metric filter and alarm exist for changes to network gateways,"CIS AWS Foundations Benchmark v1.2.0/3.12, CIS AWS Foundations Benchmark v1.4.0/4.12",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None," You can do real-time monitoring of API calls by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. Network gateways are required to send and receive traffic to a destination outside a VPC. CIS recommends that you create a metric filter and alarm for changes to network gateways. Monitoring these changes helps ensure that all ingress and egress traffic traverses the VPC border via a controlled path. To run this check, Security Hub uses custom logic to perform the exact audit steps prescribed for control 4.12 in the   CIS AWS Foundations Benchmark v1.2   . This control fails if the exact metric filters prescribed by CIS are not used. Additional fields or terms cannot be added to the metric filters."
CloudWatch.13,Ensure a log metric filter and alarm exist for route table changes,"CIS AWS Foundations Benchmark v1.2.0/3.13, CIS AWS Foundations Benchmark v1.4.0/4.13",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None, This control checks whether you monitor API calls in real time by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. Routing tables route network traffic between subnets and to network gateways. CIS recommends that you create a metric filter and alarm for changes to route tables. Monitoring these changes helps ensure that all VPC traffic flows through an expected path.
CloudWatch.14,Ensure a log metric filter and alarm exist for VPC changes,"CIS AWS Foundations Benchmark v1.2.0/3.14, CIS AWS Foundations Benchmark v1.4.0/4.14",Detect > Detection services,Low,"AWS::Logs::MetricFilter   ,   AWS::CloudWatch::Alarm   ,   AWS::CloudTrail::Trail   ,   AWS::SNS::Topic",None (custom Security Hub rule),Periodic,None," You can do real-time monitoring of API calls by directing CloudTrail logs to CloudWatch Logs and establishing corresponding metric filters and alarms. You can have more than one VPC in an account, and you can create a peer connection between two VPCs, enabling network traffic to route between VPCs. CIS recommends that you create a metric filter and alarm for changes to VPCs. Monitoring these changes helps ensure that authentication and authorization controls remain intact. To run this check, Security Hub uses custom logic to perform the exact audit steps prescribed for control 4.14 in the   CIS AWS Foundations Benchmark v1.4.0   . This control fails if the exact metric filters prescribed by CIS are not used. Additional fields or terms cannot be added to the metric filters."
CloudWatch.15,CloudWatch alarms should have specified actions configured,"NIST.800-53.r5 AU-6(1), NIST.800-53.r5 AU-6(5), NIST.800-53.r5 CA-7, NIST.800-53.r5 IR-4(1), NIST.800-53.r5 IR-4(5), NIST.800-53.r5 SI-2, NIST.800-53.r5 SI-20, NIST.800-53.r5 SI-4(12), NIST.800-53.r5 SI-4(5)",Detect > Detection services,High,AWS::CloudWatch::Alarm,cloudwatch-alarm-action-check,Change triggered,," This control checks whether an Amazon CloudWatch alarm has at least one action configured for the   ALARM   state. The control fails if the alarm doesn't have an action configured for the   ALARM   state. Optionally, you can include custom parameter values to also require alarm actions for the   INSUFFICIENT_DATA   or   OK   states. We recommend CloudWatch alarm actions to automatically alert you when a monitored metric is outside the defined threshold. Monitoring alarms help you identify unusual activities and quickly respond to security and operational issues when an alarm goes into a specific state. The most common type of alarm action is to notify one or more users by sending a message to an Amazon Simple Notification Service (Amazon SNS) topic."
CloudWatch.16,CloudWatch log groups should be retained for a specified time period,"NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-11, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SI-12",Identify > Logging,Medium,AWS::Logs::LogGroup,cw-loggroup-retention-period-check,Periodic,," This control checks whether an Amazon CloudWatch log group has a retention period of at least the specified number of days. The control fails if the retention period is less than the specified number. Unless you provide a custom parameter value for the retention period, Security Hub uses a default value of 365 days. CloudWatch Logs centralize logs from all of your systems, applications, and AWS services in a single, highly scalable service. You can use CloudWatch Logs to monitor, store, and access your log files from Amazon Elastic Compute Cloud (EC2) instances, AWS CloudTrail, Amazon RouteÂ 53, and other sources. Retaining your logs for at least 1 year can help you comply with log retention standards."
CloudWatch.17,CloudWatch alarm actions should be activated,"NIST.800-53.r5 AU-6(1), NIST.800-53.r5 AU-6(5), NIST.800-53.r5 CA-7, NIST.800-53.r5 SI-2, NIST.800-53.r5 SI-4(12)",Detect > Detection services,High,AWS::CloudWatch::Alarm,cloudwatch-alarm-action-enabled-check,Change triggered,None," This control checks if CloudWatch alarm actions are activated (   ActionEnabled   should be set to true). The control fails if the alarm action for a CloudWatch alarm is deactivated. Whereas this control focuses on the activation status of a CloudWatch alarm action,   CloudWatch.15   focuses on whether any   ALARM   action is configured in a CloudWatch alarm. Alarm actions automatically alert you when a monitored metric is outside the defined threshold. If the alarm action is deactivated, no actions are run when the alarm changes state, and you won't be alerted to changes in monitored metrics. We recommend activating CloudWatch alarm actions to help you quickly respond to security and operational issues."
CodeBuild.1,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,"PCI DSS v3.2.1/8.2.1, NIST.800-53.r5 SA-3",Protect > Secure development,Critical,AWS::CodeBuild::Project,codebuild-project-source-repo-url-check,Change triggered,None," This control checks whether the GitHub or Bitbucket source repository URL contains either personal access tokens or a user name and password. Sign-in credentials should never be stored or transmitted in clear text or appear in the repository URL. Instead of personal access tokens or sign-in credentials, you should use OAuth to grant authorization for accessing GitHub or Bitbucket repositories. Using personal access tokens or sign-in credentials could expose your credentials to unintended data exposure and unauthorized access."
CodeBuild.2,CodeBuild project environment variables should not contain clear text credentials,"PCI DSS v3.2.1/8.2.1, NIST.800-53.r5 IA-5(7), NIST.800-53.r5 SA-3",Protect > Secure development,Critical,AWS::CodeBuild::Project,codebuild-project-envvar-awscred-check,Change triggered,None," This control checks whether the project contains the environment variables   AWS_ACCESS_KEY_ID   and   AWS_SECRET_ACCESS_KEY   . Authentication credentials   AWS_ACCESS_KEY_ID   and   AWS_SECRET_ACCESS_KEY   should never be stored in clear text, as this could lead to unintended data exposure and unauthorized access."
CodeBuild.3,CodeBuild S3 logs should be encrypted,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-3(6), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-28, NIST.800-53.r5 SC-28(1), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data-at-rest,Low,AWS::CodeBuild::Project,codebuild-project-s3-logs-encrypted,Change triggered,None, This control checks if Amazon S3 logs for an AWS CodeBuild project are encrypted. The control fails if encryption is deactivated for S3 logs for a CodeBuild project. Encryption of data at rest is a recommended best practice to add a layer of access management around your data. Encrypting the logs at rest reduces the risk that a user not authenticated by AWS will access the data stored on disk. It adds another set of access controls to limit the ability of unauthorized users to access the data.
CodeBuild.4,CodeBuild project environments should have a logging AWS Configuration,"NIST.800-53.r5 AC-2(12), NIST.800-53.r5 AC-2(4), NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AC-6(9), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 AU-9(7), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-3(8), NIST.800-53.r5 SI-4, NIST.800-53.r5 SI-4(20), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::CodeBuild::Project,codebuild-project-logging-enabled,Change triggered,None," This control checks whether a CodeBuild project environment has at least one log option, either to S3 or CloudWatch logs enabled. This control fails if a CodeBuild project environment does not have at least one log option enabled. From a security perspective, logging is an important feature to enable for future forensics efforts in the case of any security incidents. Correlating anomalies in CodeBuild projects with threat detections can increase confidence in the accuracy of those threat detections."
CodeBuild.5,CodeBuild project environments should not have privileged mode enabled,"NIST.800-53.r5 AC-2(1), NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(15), NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-5, NIST.800-53.r5 AC-6, NIST.800-53.r5 AC-6(10), NIST.800-53.r5 AC-6(2)",Protect > Secure Access Management,High,AWS::CodeBuild::Project,codebuild-project-environment-privileged-check,Change triggered,None," This control checks whether an AWS CodeBuild project environment has privileged mode enabled or disabled. The control fails if an CodeBuild project environment has privileged mode enabled. By default, Docker containers do not allow access to any devices. Privileged mode grants a build project's Docker container access to all devices. Setting   privilegedMode   with value   true   permits the Docker daemon to run inside a Docker container. The Docker daemon listens for Docker API requests and manages Docker objects such as images, containers, networks, and volumes. This parameter should only be set to true if the build project is used to build Docker images. Otherwise, this setting should be disabled to prevent unintended access to Docker APIs as well as the container's underlying hardware. Setting   privilegedMode   to   false   helps protect critical resources from tampering and deletion."
Config.1,AWS Config should be enabled,"PCI DSS v3.2.1/10.5.2,PCI DSS v3.2.1/11.5, CIS AWS Foundations Benchmark v1.2.0/2.5, CIS AWS Foundations Benchmark v1.4.0/3.5, NIST.800-53.r5 CM-3, NIST.800-53.r5 CM-6(1), NIST.800-53.r5 CM-8, NIST.800-53.r5 CM-8(2)",Identify > Inventory,Medium,AWS::::Account,None (custom Security Hub rule),Periodic,None," This control checks whether AWS Config is enabled in your account in the current Region and is recording all resources. The control fails if AWS Config isn't enabled or isn't recording all resources. The AWS Config service performs configuration management of supported AWS resources in your account and delivers log files to you. The recorded information includes the configuration item (AWS resource), relationships between configuration items, and any configuration changes between resources. Security Hub recommends that you enable AWS Config in all Regions. The AWS configuration item history that AWS Config captures enables security analysis, resource change tracking, and compliance auditing."
DMS.1,Database Migration Service replication instances should not be public,"PCI DSS v3.2.1/1.2.1,PCI DSS v3.2.1/1.3.1,PCI DSS v3.2.1/1.3.4,PCI DSS v3.2.1/1.3.2,PCI DSS v3.2.1/1.3.6, NIST.800-53.r5 AC-21, NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-4, NIST.800-53.r5 AC-4(21), NIST.800-53.r5 AC-6, NIST.800-53.r5 SC-7, NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16), NIST.800-53.r5 SC-7(20), NIST.800-53.r5 SC-7(21), NIST.800-53.r5 SC-7(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-7(9)",Protect > Secure network configuration,Critical,AWS::DMS::ReplicationInstance,dms-replication-not-public,Periodic,None," This control checks whether AWS DMS replication instances are public. To do this, it examines the value of the   PubliclyAccessible   field. A private replication instance has a private IP address that you cannot access outside of the replication network. A replication instance should have a private IP address when the source and target databases are in the same network. The network must also be connected to the replication instance's VPC using a VPN, AWS Direct Connect, or VPC peering. To learn more about public and private replication instances, see   Public and private replication instances   in the   AWS Database Migration Service User Guide   . You should also ensure that access to your AWS DMS instance configuration is limited to only authorized users. To do this, restrict users' IAM permissions to modify AWS DMS settings and resources."
DMS.6,DMS replication instances should have automatic minor version upgrade enabled,"NIST.800-53.r5 SI-2, NIST.800-53.r5 SI-2(2), NIST.800-53.r5 SI-2(4), NIST.800-53.r5 SI-2(5)","Detect > Vulnerability, patch, and version management",Medium,AWS::DMS::ReplicationInstance,dms-auto-minor-version-upgrade-enabled,Change triggered,None," This control checks if automatic minor version upgrade is enabled for an AWS DMS replication instance. The control fails if automatic minor version upgrade isn't enabled for a DMS replication instance. DMS provides automatic minor version upgrade to each supported replication engine so that you can keep your replication instance up-to-date. Minor versions can introduce new software features, bug fixes, security patches, and performance improvements. By enabling automatic minor version upgrade on DMS replication instances, minor upgrades are applied automatically during the maintenance window or immediately if the   Apply changes immediately option is chosen   ."
DMS.7,DMS replication tasks for the target database should have logging enabled,"NIST.800-53.r5 AC-2(4), NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AC-6(9), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-3(8), NIST.800-53.r5 SI-4(20), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::DMS::ReplicationTask,dms-replication-task-targetdb-logging,Change triggered,None, This control checks whether logging is enabled with the minimum severity level of   LOGGER_SEVERITY_DEFAULT   for DMS replication tasks   TARGET_APPLY   and   TARGET_LOAD   . The control fails if logging isn't enabled for these tasks or if the minimum severity level is less than   LOGGER_SEVERITY_DEFAULT   .
DMS.8,DMS replication tasks for the source database should have logging enabled,"NIST.800-53.r5 AC-2(4), NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AC-6(9), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-3(8), NIST.800-53.r5 SI-4(20), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::DMS::ReplicationTask,dms-replication-task-sourcedb-logging,Change triggered,None, This control checks whether logging is enabled with the minimum severity level of   LOGGER_SEVERITY_DEFAULT   for DMS replication tasks   SOURCE_CAPTURE   and   SOURCE_UNLOAD   . The control fails if logging isn't enabled for these tasks or if the minimum severity level is less than   LOGGER_SEVERITY_DEFAULT   .
DMS.9,DMS endpoints should use SSL,"NIST.800-53.r5 AC-4, NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-23(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2)",Protect > Encryption of data-in-transit,Medium,AWS::DMS::Endpoint,dms-endpoint-ssl-configured,Change triggered,None," This control checks whether an AWS DMS endpoint uses an SSL connection. The control fails if the endpoint doesn't use SSL. SSL/TLS connections provide a layer of security by encrypting connections between DMS replication instances and your database. Using certificates provides an extra layer of security by validating that the connection is being made to the expected database. It does so by checking the server certificate that is automatically installed on all database instances that you provision. By enabling SSL connection on your DMS endpoints, you protect the confidentiality of the data during the migration."
DocumentDB.1,Amazon DocumentDB clusters should be encrypted at rest,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-3(6), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-28, NIST.800-53.r5 SC-28(1), NIST.800-53.r5 SC-7(10), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data at rest,Medium,AWS::RDS::DBCluster,docdb-cluster-encrypted,Change triggered,None," This control checks whether an Amazon DocumentDB cluster is encrypted at rest. The control fails if an Amazon DocumentDB cluster isn't encrypted at rest. Data at rest refers to any data that's stored in persistent, non-volatile storage for any duration. Encryption helps you protect the confidentiality of such data, reducing the risk that an unauthorized user gets access to it. Data in Amazon DocumentDB clusters should be encrypted at rest for an added layer of security. Amazon DocumentDB uses the 256-bit Advanced Encryption Standard (AES-256) to encrypt your data using encryption keys stored in AWS Key Management Service (AWS KMS)."
DocumentDB.2,Amazon DocumentDB clusters should have an adequate backup retention period,NIST.800-53.r5 SI-12,Recover > Resilience > Backups enabled,Medium,AWS::RDS::DBCluster,docdb-cluster-backup-retention-check,Change triggered,," This control checks whether an Amazon DocumentDB cluster has a backup retention period greater than or equal to the specified time frame. The control fails if the backup retention period is less than the specified time frame. Unless you provide a custom parameter value for the backup retention period, Security Hub uses a default value of 7 days. Backups help you recover more quickly from a security incident and strengthen the resilience of your systems. By automating backups for your Amazon DocumentDB clusters, you'll be able to restore your systems to a point in time and minimize downtime and data loss. In Amazon DocumentDB, clusters have a default backup retention period of 1 day. This must be increased to a value between 7 and 35 days to pass this control."
DocumentDB.3,Amazon DocumentDB manual cluster snapshots should not be public,"NIST.800-53.r5 AC-21, NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-4, NIST.800-53.r5 AC-4(21), NIST.800-53.r5 AC-6, NIST.800-53.r5 SC-7, NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16), NIST.800-53.r5 SC-7(20), NIST.800-53.r5 SC-7(21), NIST.800-53.r5 SC-7(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-7(9)",Protect > Secure network configuration,Critical,"AWS::RDS::DBClusterSnapshot   ,   AWS::RDS:DBSnapshot",docdb-cluster-snapshot-public-prohibited,Change triggered,None," This control checks whether an Amazon DocumentDB manual cluster snapshot is public. The control fails if the manual cluster snapshot is public. An Amazon DocumentDB manual cluster snapshot should not be public unless intended. If you share an unencrypted manual snapshot as public, the snapshot is available to all AWS accounts. Public snapshots may result in unintended data exposure."
DocumentDB.4,Amazon DocumentDB clusters should publish audit logs to CloudWatch Logs,"NIST.800-53.r5 AC-2(4), NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AC-6(9), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-3(8), NIST.800-53.r5 SI-4(20), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::RDS::DBCluster,docdb-cluster-audit-logging-enabled,Change triggered,None," This control checks whether an Amazon DocumentDB cluster publishes audit logs to Amazon CloudWatch Logs. The control fails if the cluster doesn't publish audit logs to CloudWatch Logs. Amazon DocumentDB (with MongoDB compatibility) allows you to audit events that were performed in your cluster. Examples of logged events include successful and failed authentication attempts, dropping a collection in a database, or creating an index. By default, auditing is disabled in Amazon DocumentDB and requires that you take action to enable it."
DocumentDB.5,Amazon DocumentDB clusters should have deletion protection enabled,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2), NIST.800-53.r5 CM-3, NIST.800-53.r5 SC-5(2)",Protect > Data protection > Data deletion protection,Medium,AWS::RDS::DBCluster,docdb-cluster-deletion-protection-enabled,Change triggered,None, This control checks whether an Amazon DocumentDB cluster has deletion protection enabled. The control fails if the cluster doesn't have deletion protection enabled. Enabling cluster deletion protection offers an additional layer of protection against accidental database deletion or deletion by an unauthorized user. An Amazon DocumentDB cluster can't be deleted while deletion protection is enabled. You must first disable deletion protection before a delete request can succeed. Deletion protection is enabled by default when you create a cluster in the Amazon DocumentDB console.
DynamoDB.1,DynamoDB tables should automatically scale capacity with demand,"NIST.800-53.r5 CP-10, NIST.800-53.r5 CP-2(2), NIST.800-53.r5 CP-6(2), NIST.800-53.r5 SC-36, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-13(5)",Recover > Resilience > High availability,Medium,AWS::DynamoDB::Table,dynamodb-autoscaling-enabled,Periodic,," This control checks whether an Amazon DynamoDB table can scale its read and write capacity as needed. The control fails if the table doesn't use on-demand capacity mode or provisioned mode with auto scaling configured. By default, this control only requires that one of these modes be configured, without regard to specific levels of read or write capacity. Optionally, you can provide custom parameter values to require specific levels of read and write capacity or target utilization. Scaling capacity with demand avoids throttling exceptions, which helps to maintain availability of your applications. DynamoDB tables in on-demand capacity mode are only limited by the DynamoDB throughput default table quotas. To raise these quotas, you can file a support ticket with AWS Support.DynamoDB tables in provisioned mode with auto scaling adjust the provisioned throughput capacity dynamically in response to traffic patterns. For more information about DynamoDB request throttling, see   Request throttling and burst capacity   in the   Amazon DynamoDB Developer Guide   ."
DynamoDB.2,DynamoDB tables should have point-in-time recovery enabled,"NIST.800-53.r5 CP-10, NIST.800-53.r5 CP-6(2), NIST.800-53.r5 CP-9, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-12, NIST.800-53.r5 SI-13(5)",Recover > Resilience > Backups enabled,Medium,AWS::DynamoDB::Table,dynamodb-pitr-enabled,Change triggered,None, This control checks whether point-in-time recovery (PITR) is enabled for an Amazon DynamoDB table. Backups help you to recover more quickly from a security incident. They also strengthen the resilience of your systems. DynamoDB point-in-time recovery automates backups for DynamoDB tables. It reduces the time to recover from accidental delete or write operations. DynamoDB tables that have PITR enabled can be restored to any point in time in the last 35 days.
DynamoDB.3,DynamoDB Accelerator (DAX) clusters should be encrypted at rest,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-3(6), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-28, NIST.800-53.r5 SC-28(1), NIST.800-53.r5 SC-7(10), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data at rest,Medium,AWS::DynamoDB::Cluster,dax-encryption-enabled,Periodic,None," This control checks whether a DAX cluster is encrypted at rest. Encrypting data at rest reduces the risk of data stored on disk being accessed by a user not authenticated to AWS. The encryption adds another set of access controls to limit the ability of unauthorized users to access to the data. For example, API permissions are required to decrypt the data before it can be read."
DynamoDB.4,DynamoDB tables should be present in a backup plan,"NIST.800-53.r5 CP-10, NIST.800-53.r5 CP-6, NIST.800-53.r5 CP-6(1), NIST.800-53.r5 CP-6(2), NIST.800-53.r5 CP-9, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-12, NIST.800-53.r5 SI-13(5)",Recover > Resilience > Backups enabled,Medium,AWS::DynamoDB::Table,dynamodb-resources-protected-by-backup-plan,Periodic,," This control evaluates whether an Amazon DynamoDB table in   ACTIVE   state is covered by a backup plan. The control fails if the DynamoDB table isn't covered by a backup plan. If you set the   backupVaultLockCheck   parameter equal to   true   , the control passes only if the DynamoDB table is backed up in an AWS Backup locked vault. AWS Backup is a fully managed backup service that helps you centralize and automate the backing up of data across AWS services. With AWS Backup, you can create backup plans that define your backup requirements, such as how frequently to back up your data and how long to retain those backups. Including DynamoDB tables in your backup plans helps you protect your data from unintended loss or deletion."
DynamoDB.6,DynamoDB tables should have deletion protection enabled,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2), NIST.800-53.r5 CM-3, NIST.800-53.r5 SC-5(2)",Protect > Data protection > Data deletion protection,Medium,AWS::DynamoDB::Table,dynamodb-table-deletion-protection-enabled,Change triggered,None, This control checks whether an Amazon DynamoDB table has deletion protection enabled. The control fails if a DynamoDB table doesn't have deletion protection enabled. You can protect a DynamoDB table from accidental deletion with the deletion protection property. Enabling this property for tables helps ensure that tables don't get accidentally deleted during regular table management operations by your administrators. This helps prevent disruption to your normal business operations.
EC2.1,Amazon EBS snapshots should not be publicly restorable,"PCI DSS v3.2.1/1.2.1,PCI DSS v3.2.1/1.3.1,PCI DSS v3.2.1/1.3.4,PCI DSS v3.2.1/7.2.1, NIST.800-53.r5 AC-21, NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-4, NIST.800-53.r5 AC-4(21), NIST.800-53.r5 AC-6, NIST.800-53.r5 SC-7, NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16), NIST.800-53.r5 SC-7(20), NIST.800-53.r5 SC-7(21), NIST.800-53.r5 SC-7(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-7(9)",Protect > Secure network configuration,Critical,AWS::::Account,ebs-snapshot-public-restorable-check,Periodic,None," This control checks whether Amazon Elastic Block Store snapshots are not public. The control fails if Amazon EBS snapshots are restorable by anyone. EBS snapshots are used to back up the data on your EBS volumes to Amazon S3 at a specific point in time. You can use the snapshots to restore previous states of EBS volumes. It is rarely acceptable to share a snapshot with the public. Typically the decision to share a snapshot publicly was made in error or without a complete understanding of the implications. This check helps ensure that all such sharing was fully planned and intentional. To make a public EBS snapshot private, see   Share a snapshot   in the   Amazon EC2 User Guide for Linux Instances   . For   Actions, Modify permissions   , choose   Private   ."
EC2.2,VPC default security groups should not allow inbound or outbound traffic,"PCI DSS v3.2.1/1.2.1,PCI DSS v3.2.1/1.3.4,PCI DSS v3.2.1/2.1, CIS AWS Foundations Benchmark v1.2.0/4.3, CIS AWS Foundations Benchmark v1.4.0/5.3, NIST.800-53.r5 AC-4, NIST.800-53.r5 AC-4(21), NIST.800-53.r5 SC-7, NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16), NIST.800-53.r5 SC-7(21), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-7(5)",Protect > Secure network configuration,High,AWS::EC2::SecurityGroup,vpc-default-security-group-closed,Change triggered,None," This control checks whether the default security group of a VPC allows inbound or outbound traffic. The control fails if the security group allows inbound or outbound traffic. The rules for the   default security group   allow all outbound and inbound traffic from network interfaces (and their associated instances) that are assigned to the same security group. We recommend that you don't use the default security group. Because the default security group cannot be deleted, you should change the default security group rules setting to restrict inbound and outbound traffic. This prevents unintended traffic if the default security group is accidentally configured for resources such as EC2 instances."
